RATING,LAUNCHPAD,PROJECT,START,TOKEN,REWIEW,PROGRESS
3.8,Bitfinex Launchpad,BITFINEX,"05 May, 2019",LEO,PDF,Ended$1000M
2.6,Multiple,Tron Game Global,"13 Jun, 2019",GTP,PDF,Ended$80M
3.7,Binance Launchpad,Perlin,"24 Aug, 2019",PERL,PDF,Ended$53M
2.3,Coineal Launchpad,Percival,"05 Mar, 2019",XPV,PDF,Ended$35M
3.4,Binance Launchpad,Bread,"16 Dec, 2017",BRD,PDF,Ended$32M
4.2,Latoken Launchpad,SocialGood,"03 Apr, 2019",SG,PDF,Ended$30M
1.6,Probit Launchpad,CharS,"20 Mar, 2019",CHARS,PDF,Ended$30M
4.2,Binance Launchpad,GIFTO,"14 Dec, 2017",GTO,PDF,Ended$30M
3.5,Exmarkets Launchpad,Windhan Energy,"21 Mar, 2019",WHN,PDF,Ended$28.7M
3.5,LBank Launchpad,ioeX,"18 Apr, 2019",IOEX,PDF,Ended$27.2M
3.1,Binance Launchpad,harmony,"28 May, 2019",ONE,PDF,Ended$23M
3.1,Multiple,MultiVAC,"03 Apr, 2019",MTV,PDF,Ended$16.2M
3.8,Kucoin Spotlight,COTI,"28 May, 2019",COTI,Coming soonPRO,Ended$15M
3.9,Huobi Prime,Akropolis,"16 Jul, 2019",AKT,PDF,Ended$12.6M
4.0,Bitforex Launchpad,ECOMI,"12 May, 2019",OMI,Coming soonPRO,Ended$10.5M
3.5,Binance Launchpad,Band Protocol,"16 Sep, 2019",BAND,Coming soonPRO,Ended$10M
4.6,Bitforex Launchpad,Squeezer,"10 Jun, 2019",SQR,Coming soonPRO,Ended$9M
4.4,Bitforex Launchpad,Azbit,"06 Jun, 2019",AZ,PDF,Ended$9M
3.6,Multiple,Menapay,"15 Mar, 2019",MPAY,Coming soonPRO,Ended$8.5M
3.0,p2pb2b Launchpad,1irstcoin,"22 Jul, 2019",FST,Coming soonPRO,Ended$7.5M
4.2,Multiple,Adab Solutions,"16 Apr, 2019",ADAB,PDF,Ended$7.3M
3.9,Binance Launchpad,BitTorrent,"28 Jan, 2019",BTT,PDF,Ended$7.1M
2.3,Bittrex International,VeriBlock,"02 Apr, 2019",VBK,PDF,Ended$7M
2.4,Coineal Launchpad,XCon,"06 Apr, 2019",XCON,Coming soonPRO,Ended$6.8M
4.4,Multiple,TerraGreen,"21 Jan, 2019",TGN,PDF,Ended$6.7M
4.1,Multiple,DexAge,"22 Jun, 2019",DXG,PDF,Ended$6.1M
4.1,Binance Launchpad,Fetch.ai,"25 Feb, 2019",FET,PDF,Ended$6M
3.9,Exmarkets Launchpad,VenusEnergy,"01 Jun, 2019",VENUS,PDF,Ended$6M
3.8,Coineal Launchpad,RedFOX Labs,"17 Apr, 2019",RFOX,Coming soonPRO,Ended$5.7M
1.6,Coineal Launchpad,RES,"03 Jun, 2019",RES,Coming soonPRO,Ended$5.5M
2.7,Latoken Launchpad,MECA Coin,"15 Apr, 2019",MCA,Coming soonPRO,Ended$5.5M
3.9,Probit Launchpad,Gath3r,"09 Jan, 2020",GTH,Coming soonPRO,Ended$5.2M
4.0,Exmarkets Launchpad,Aerum,"01 Jan, 2019",XRM,Coming soonPRO,Ended$5.1M
3.7,Probit Launchpad,EMX,"09 Sep, 2019",EMX,PDF,Ended$5M
2.6,Bitfinex Launchpad,Ampleforth,"27 Jun, 2019",AMPL,Coming soonPRO,Ended$5M
3.8,Binance Launchpad,Matic,"24 Apr, 2019",MATIC,PDF,Ended$5M
3.2,Coineal Launchpad,Neutro,"27 Jul, 2019",NTO,Coming soonPRO,Ended$4.7M
